"NAME","METHOD","CENSUS2010POP","CENSUS2020POP","ESTIMATESBASE2010","ESTIMATESBASE2020","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","BIRTHS2018","BIRTHS2019","BIRTHS2020","BIRTHS2021","BIRTHS2022","BIRTHS2023","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","DEATHS2018","DEATHS2019","DEATHS2020","DEATHS2021","DEATHS2022","DEATHS2023","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","DOMESTICMIG2018","DOMESTICMIG2019","DOMESTICMIG2020","DOMESTICMIG2021","DOMESTICMIG2022","DOMESTICMIG2023","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","INTERNATIONALMIG2018","INTERNATIONALMIG2019","INTERNATIONALMIG2020","INTERNATIONALMIG2021","INTERNATIONALMIG2022","INTERNATIONALMIG2023","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","NATURALINC2018","NATURALINC2019","NATURALINC2020","NATURALINC2021","NATURALINC2022","NATURALINC2023","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","NETMIG2018","NETMIG2019","NETMIG2020","NETMIG2021","NETMIG2022","NETMIG2023","NPOPCHG2010","NPOPCHG2011","NPOPCHG2012","NPOPCHG2013","NPOPCHG2014","NPOPCHG2015","NPOPCHG2016","NPOPCHG2017","NPOPCHG2018","NPOPCHG2019","NPOPCHG2020","NPOPCHG2021","NPOPCHG2022","NPOPCHG2023","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019","POPESTIMATE2020","POPESTIMATE2021","POPESTIMATE2022","POPESTIMATE2023","RBIRTH2011","RBIRTH2012","RBIRTH2013","RBIRTH2014","RBIRTH2015","RBIRTH2016","RBIRTH2017","RBIRTH2018","RBIRTH2019","RBIRTH2021","RBIRTH2022","RBIRTH2023","RDEATH2011","RDEATH2012","RDEATH2013","RDEATH2014","RDEATH2015","RDEATH2016","RDEATH2017","RDEATH2018","RDEATH2019","RDEATH2021","RDEATH2022","RDEATH2023","RDOMESTICMIG2011","RDOMESTICMIG2012","RDOMESTICMIG2013","RDOMESTICMIG2014","RDOMESTICMIG2015","RDOMESTICMIG2016","RDOMESTICMIG2017","RDOMESTICMIG2018","RDOMESTICMIG2019","RDOMESTICMIG2021","RDOMESTICMIG2022","RDOMESTICMIG2023","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017","RESIDUAL2018","RESIDUAL2019","RESIDUAL2020","RESIDUAL2021","RESIDUAL2022","RESIDUAL2023","RINTERNATIONALMIG2011","RINTERNATIONALMIG2012","RINTERNATIONALMIG2013","RINTERNATIONALMIG2014","RINTERNATIONALMIG2015","RINTERNATIONALMIG2016","RINTERNATIONALMIG2017","RINTERNATIONALMIG2018","RINTERNATIONALMIG2019","RINTERNATIONALMIG2021","RINTERNATIONALMIG2022","RINTERNATIONALMIG2023","RNATURALINC2011","RNATURALINC2012","RNATURALINC2013","RNATURALINC2014","RNATURALINC2015","RNATURALINC2016","RNATURALINC2017","RNATURALINC2018","RNATURALINC2019","RNATURALINC2021","RNATURALINC2022","RNATURALINC2023","RNETMIG2011","RNETMIG2012","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","RNETMIG2017","RNETMIG2018","RNETMIG2019","RNETMIG2021","RNETMIG2022","RNETMIG2023"
"United States","OE",308745538,331449281,308758105,331464948,987836,3973485,3936976,3940576,3963195,3992376,3962654,3901982,3824521,3791712,894123,3584459,3679254,3653356,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2824382,2835038,852024,3438423,3456087,3148861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,19886,376008,999267,1138989,389145,1461043,1435445,1332557,1380747,1292550,1259439,1113819,1000139,956674,42099,146036,223167,504495,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,595348,19886,376008,999267,1138989,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,1552022,61985,522044,1222434,1643484,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,331526933,332048977,333271411,334914895,12.799556577,12.590509751,12.513246841,12.496383326,12.496947837,12.314477487,12.044513976,11.737545564,11.579036629,10.803463314,11.060096959,10.935141793,8.0931835718,7.9999345814,8.2817297553,8.1427384033,8.4510037858,8.400602288,8.6064128999,8.6680952767,8.6575691523,10.363314726,10.389241221,9.4250988735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4937727756,2.6820827467,2.636187477,2.9214999476,3.2604352274,3.2527882615,2.8719569192,2.1539114155,1.8180590453,1.1332780299,3.0038670632,3.4091958778,4.7063730049,4.5905751698,4.2315170854,4.3536449223,4.045944051,3.9138751986,3.4381010758,3.0694502875,2.9214674764,0.4401485883,0.6708557382,1.5100429191,2.4937727756,2.6820827467,2.636187477,2.9214999476,3.2604352274,3.2527882615,2.8719569192,2.1539114155,1.8180590453,1.1332780299,3.0038670632,3.4091958778
"United States","IDB",NA,NA,NA,NA,NA,3953590,3952841,3932181,3988076,3978497,3945875,3855500,3791712,3748000,NA,3658150,3688179,4145830,NA,2515458,2543284,2596993,2626418,2712630,2744248,2813503,2839205,2855000,NA,3464235,3128620,2843763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830305,859362,891740,1008622,1021684,1028522,827150,651793,594330,NA,689728,1011834,1021097,NA,1438132,1409557,1335188,1361658,1265867,1201627,1041997,952507,893000,NA,193915,559559,1302067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256338,2294181,2182285,2326382,2352665,2332761,2050373,1716071,1491754,3181559,520042,1256003,6377561,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,339665118,127,126,124,125,124,122,119,116,114,110,111,122,81,81,82,82,85,85,87,87,87,104,94,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,28,32,32,32,25,20,18,21,30,30,46,45,42,43,39,37,32,29,27,6,17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northeast Region","OE",55317240,57609148,55318443,57614141,163466,646249,637860,635751,632433,634504,628030,618490,610713,602740,146099,572860,588927,581516,110878,470811,460915,479963,470268,489209,480502,497919,503076,505588,193163,560547,563354,525863,-32807,-154970,-207154,-217700,-275141,-340104,-373661,-316475,-298739,-294331,-131531,-276548,-450321,-323300,45032,204242,205018,191468,219965,224592,234098,213507,179097,134145,4432,80448,210145,225009,52588,175438,176945,155788,162165,145295,147528,120571,107637,97152,-47064,12313,25573,55653,12225,49272,-2136,-26232,-55176,-115512,-139563,-102968,-119642,-160186,-127099,-196100,-240176,-98291,61691,224089,170993,126590,104205,28673,7646,16910,-12620,-63817,-183664,-187054,-216576,-43330,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,55982803,57430477,57243423,57026847,56983517,11.64576734,11.453819587,11.385529245,11.302749298,11.326313176,11.207115136,11.034457412,10.89529129,10.760387474,9.9911139326,10.307615445,10.201107682,8.4842767526,8.2764826998,8.5955551358,8.4045603356,8.7327019883,8.5744968188,8.8833546221,8.9750170062,9.025985968,9.7763658513,9.8600274595,9.2248280165,-2.792645814,-3.719788892,-3.89874293,-4.917279371,-6.071079798,-6.66793282,-5.646218871,-5.329587588,-5.254530321,-4.823207373,-7.881682611,-5.671414223,-3122,-621,-3816,-2966,-2784,-1110,-319,-693,-615,-783,-9501,-3267,-1973,-692,3.680554729,3.6814335184,3.4289596297,3.9311820371,4.0091147239,4.1774489103,3.8091705584,3.1951407357,2.3948172972,1.4030742828,3.6780345404,3.9471674698,3.1614905874,3.1773368871,2.7899741094,2.8981889621,2.5936111874,2.6326183173,2.1511027901,1.9202742836,1.7344015063,0.2147480813,0.4475879859,0.9762796652,0.8879089149,-0.038355374,-0.469783301,-0.986097334,-2.061965074,-2.49048391,-1.837048313,-2.134446852,-2.859713024,-3.42013309,-4.20364807,-1.724246754
"Midwest Region","OE",66927001,68985454,66929725,68987296,212570,834866,830701,830890,836538,838012,831641,818785,801587,792343,190125,748083,753976,746365,140862,586660,584671,605165,596898,626084,619187,640407,627911,622854,186179,762461,771652,700527,-50673,-179592,-184359,-124956,-183669,-234550,-227445,-162183,-157067,-161549,-35580,-177584,-181443,-85729,24720,114945,118864,124489,132052,140410,143098,124250,94152,85675,3074,55313,144422,165910,71708,248206,246030,225725,239640,211928,212454,178378,173676,169489,3946,-14378,-17676,45838,-25953,-64647,-65495,-467,-51617,-94140,-84347,-37933,-62915,-75874,-32506,-122271,-37021,80181,44691,183384,178943,223636,184788,115416,126957,139241,109847,92376,-17502,-119548,-67218,126255,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,68329004,68969794,68850246,68783028,68909283,12.448403894,12.352932416,12.31886919,12.365169422,12.359534902,12.243687754,12.030842809,11.756628936,11.60384188,10.855939383,10.956304069,10.841055605,8.7474883737,8.6943453163,8.9722447896,8.8229642856,9.2338857312,9.1158712587,9.4098401299,9.2093766884,9.1216800432,11.064588285,11.213160562,10.17525227,-2.677835428,-2.741508999,-1.8526118,-2.71487763,-3.45929284,-3.348518846,-2.383040944,-2.303653174,-2.365880751,-2.577041771,-2.636615329,-1.245225668,-1064,-175,-1592,-1622,-3235,-2372,-1150,-1204,-914,-1239,11058,17101,-12521,236,1.713905927,1.7675661384,1.8456880051,1.9519081649,2.0708561399,2.1067350338,1.8256712312,1.3808983024,1.2547080659,0.8026844282,2.0986494879,2.4098658639,3.7009155205,3.6585870997,3.3466244002,3.5422051362,3.1256491705,3.1278164955,2.6210026791,2.5472522471,2.482161837,-0.208648902,-0.256856492,0.665803336,-0.963929501,-0.973942861,-0.006923795,-0.762969465,-1.3884367,-1.241783812,-0.557369713,-0.922754872,-1.111172685,-1.774357343,-0.537965841,1.1646401955
"West Region","OE",71945553,78588572,71946907,78594982,243041,982736,963460,969161,968911,974181,961571,945363,917271,915385,209683,836931,855985,840406,118516,491920,495154,511664,509173,532307,545445,557522,576466,584466,158192,710778,705346,654744,-7787,21952,47235,42648,84217,121111,159587,112515,107198,47967,8642,-261754,-224617,-297237,37200,175339,176764,190798,215939,254602,241050,196749,128926,132586,3447,85029,237471,248190,124525,490816,468306,457497,459738,441874,416126,387841,340805,330919,51491,126153,150639,185662,29413,197291,223999,233446,300156,375713,400637,309264,236124,180553,12089,-176725,12854,-49047,153529,687893,689494,689307,758663,816762,817126,697648,577491,512448,66399,-59355,157480,137299,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,78347268,78661381,78602026,78759506,78896805,13.565385832,13.17406641,13.128264533,12.997411017,12.931461889,12.627142257,12.292047544,11.828722549,11.722022822,10.643683944,10.879215385,10.661241465,6.7903125546,6.7705890013,6.9310056267,6.8302772493,7.065943273,7.162665688,7.2491592445,7.4338514711,7.4844178034,9.0393310632,8.9646559872,8.305966261,0.303018664,0.6458773866,0.5777102317,1.1297249837,1.6076502014,2.0956619442,1.4629721381,1.3823781628,0.6142445733,-3.328860858,-2.854789187,-3.770695865,-409,-214,-2811,-1636,-1231,-825,363,543,562,976,2819,-8783,-6013,684,2.4203256892,2.4170185321,2.5845516033,2.8967035545,3.379634852,3.1654164289,2.5582216167,1.6625728747,1.6978387432,1.0813577249,3.0181582116,3.1484943219,6.7750732778,6.4034774088,6.1972589066,6.167133768,5.8655186158,5.4644765688,5.0428882995,4.3948710776,4.2376050191,1.6043528804,1.9145593982,2.3552752037,2.7233443532,3.0628959187,3.162261835,4.0264285381,4.9872850534,5.2610783731,4.0211937548,3.0449510375,2.3120833165,-2.247503133,0.1633690246,-0.622201543
"South Region","OE",114555744,126266107,114563030,126268529,368759,1509634,1504955,1504774,1525313,1545679,1541412,1519344,1494950,1481244,348216,1426585,1480366,1485069,228435,963051,960791,1011227,1006109,1052226,1058081,1092315,1116929,1122130,314490,1404637,1415735,1267727,91267,312610,344278,300008,374593,453543,441519,366143,348608,407913,158469,715886,856381,706266,67464,279639,338025,323413,358590,422001,428463,395903,299648,242942,8933,155218,407229,499880,140324,546583,544164,493547,519204,493453,483331,427029,378021,359114,33726,21948,64631,217342,158731,592249,682303,623421,733183,875544,869982,762046,648256,650855,167402,871104,1263610,1206146,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,1011015,196752,888001,1348748,1423260,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,125580448,126465281,127353282,128702030,130125290,13.077602657,12.904348522,12.773668783,12.818379071,12.847395463,12.668318836,12.357717676,12.050624537,11.842851926,11.240982402,11.562861074,11.47536512,8.3426832708,8.2383738526,8.5840656221,8.4551082623,8.7459061929,8.695992676,8.8844398526,9.003439589,8.9716612737,11.068039968,11.05804046,9.7959288069,2.7080665689,2.9520373039,2.5466965965,3.1479932783,3.7697647962,3.6286881536,2.9780562026,2.8100900489,3.2613487432,5.6409270586,6.6890313137,5.4574300735,4595,1010,8219,6224,7250,4307,1106,1354,967,1046,-4376,-5051,20507,-228,2.4224465861,2.8984204905,2.7453760778,3.0135077529,3.5075935772,3.5213855177,3.2201117727,2.4154289717,1.9423715017,1.2230626331,3.1807893132,3.8626525206,4.7349193866,4.6659746699,4.1896031609,4.3632708088,4.10148927,3.9723261604,3.4732778235,3.0471849481,2.8711906523,0.1729424337,0.5048206147,1.679436313,5.130513155,5.8504577944,5.2920726743,6.1615010312,7.2773583734,7.1500736713,6.1981679753,5.2255190206,5.2037202448,6.8639896917,9.8698206269,9.3200825941
"New England","OE",14444865,15116205,14445453,15119994,39378,153481,151332,150619,149880,150117,149033,147456,146082,145125,35418,139200,144753,142522,28445,122250,119503,124026,124192,130021,127748,132258,132664,131609,46210,143827,149344,142818,224,-25788,-33673,-27698,-37842,-62213,-61679,-44558,-45595,-45148,-46076,24369,-46644,-37031,13782,56211,62436,56278,71618,67918,69158,70323,65123,47576,1562,26735,68504,76068,10933,31231,31829,26593,25688,20096,21285,15198,13418,13516,-10792,-4627,-4591,-296,14006,30423,28763,28580,33776,5705,7479,25765,19528,2428,-44514,51104,21860,39037,24197,61400,59174,53854,58046,25119,28557,40702,32820,15741,-62096,48210,14631,39038,14469650,14531050,14590224,14644078,14702124,14727243,14755800,14796502,14829322,14845063,15057898,15106108,15120739,15159777,61.0636205046,60.2828822563,59.8970169018,59.4240259344,59.3653114031,58.898691423,58.0814297319,57.0997974571,56.5985742204,9.2295433173,9.5777770007,9.4134459267,52.257325332,51.0937880172,52.7909921665,52.9430872232,55.5859694638,54.7351359898,56.4597316112,55.9243254913,55.1383383369,9.5363328067,9.8815466926,9.4329964522,-12.118643634,-14.921595698,-12.243859026,-12.2096489574,-21.780800061,-17.0650644494,-8.6838254681,-7.2045823231,-6.482887093,1.6157668182,-3.086263016,-2.445863208,-742,-254,-1418,-1319,-1418,-682,-207,-261,-126,-203,-6790,1733,-2638,297,17.8071742429,17.4843461853,15.8997942445,19.6719346133,21.6089652522,19.7462205968,18.4911155658,18.2390331819,13.7068852034,1.772642533,4.5326593277,5.0242208554,8.8062951726,9.1890942376,7.1060247356,6.4809387115,3.7793419393,4.1635554326,1.6216981204,1.1754719658,1.4602358844,-0.306789489,-0.303769692,-0.019550525,5.6885306086,2.5627504873,3.6559352183,7.4622856562,-0.1718348085,2.6811561467,9.8072900989,11.0344508595,7.2239981094,3.3884093512,1.4463963112,2.5783576475
"Middle Atlantic","OE",40872375,42492943,40872990,42494147,124088,492768,486528,485132,482553,484387,478997,471034,464631,457615,110681,433660,444174,438994,82433,348561,341412,355937,346076,359188,352754,365661,370412,373979,146953,416720,414010,383045,-33031,-129182,-173481,-190002,-237299,-277891,-311982,-271917,-253144,-249183,-85455,-300917,-403677,-286269,31250,148031,142582,135190,148347,156674,164940,143184,113974,86569,2870,53713,141641,148941,41655,144207,145116,129195,136477,125199,126243,105373,94219,83636,-36272,16940,30164,55949,-1781,18849,-30899,-54812,-88952,-121217,-147042,-128733,-139170,-162614,-82585,-247204,-262036,-137328,37494,162689,111819,72736,46159,3554,-20911,-23792,-45440,-79558,-121568,-235264,-231207,-82368,40910484,41073173,41184992,41257728,41303887,41307441,41286530,41262738,41217298,41137740,42372579,42137315,41906108,41823740,35.835875379,35.24726234,35.030600941,34.855874366,34.908213014,34.579478861,34.042854708,33.641589971,33.197122686,10.262940337,10.570107312,10.485961948,25.7976256337,25.1674913355,26.2214796396,25.4507601633,26.3947858206,25.9097518749,26.9509934215,27.1953891358,27.4028007909,9.8620405322,9.852287906,9.1495448553,-9.394740721,-12.253474248,-13.452611607,-16.50586786,-19.565303202,-21.436460119,-18.100531864,-16.643829002,-16.307401441,-7.121462015,-9.60639121,-6.837919973,-2380,-367,-2398,-1647,-1366,-428,-112,-432,-489,-580,-2711,-5000,665,-989,10.4686989774,9.6997405186,9.4614794986,10.3456342451,11.3823661113,11.8221465233,10.8830968954,8.3008990492,6.2687786604,1.2711647704,3.3706623301,3.5576560464,10.0382497453,10.0797710047,8.8091213007,9.4051142036,8.5134271924,8.6697269862,7.0918612864,6.4462008349,5.7943218945,0.4008998047,0.7178194063,1.3364170923,1.0739582571,-2.5537337278,-3.991132108,-6.160233616,-8.182937091,-9.614313595,-7.2174349688,-8.3429299533,-10.03862278,-5.850297244,-6.23572888,-3.280263927
"East North Central","OE",46421564,47368533,46423775,47369629,144241,565549,561623,559885,562204,563933,558632,549629,539355,532485,127370,500704,503757,497398,98347,408450,408145,421871,415597,436324,431958,446155,440180,436305,133435,530262,537410,484782,-47067,-158431,-166972,-123675,-162186,-203599,-188441,-141521,-139446,-139013,-28662,-176319,-143450,-88006,16292,79500,84748,91194,89777,92695,97416,86274,67397,59628,1988,37025,97108,122912,45894,157099,153478,138014,146607,127609,126674,103474,99175,96180,-6065,-29558,-33653,12616,-30775,-78931,-82224,-32481,-72409,-110904,-91025,-55247,-72049,-79385,-26674,-139294,-46342,34906,14481,78089,69896,104104,71865,15307,34883,47456,26531,16044,-24555,-157613,-89151,47729,46438256,46516345,46586241,46690345,46762210,46777517,46812400,46859856,46886387,46902431,47345074,47187461,47098310,47146039,60.850991438,60.366463604,60.059811586,60.174575675,60.269857943,59.701871667,58.709667856,57.565786447,56.800582212,10.593262944,10.685748118,10.555497603,43.9929038645,43.8700438549,45.3138671042,44.5587243904,46.67578193,46.1987091029,47.6649398637,46.8219941963,46.2815861168,11.218613782,11.399599204,10.287768023,-15.047071205,-16.134398041,-11.1508932665,-14.964513086,-19.388169341,-17.244622964,-11.878125935,-11.1814344837,-11.3962460075,-3.730334747,-3.042876958,-1.867613304,-638,-79,-1358,-1429,-2333,-1398,-766,-771,-595,-751,8184,11239,-9156,207,7.8728968652,8.6486118758,9.2361349629,9.1238575693,9.3277265384,10.1267549151,8.7245636571,7.2445410708,6.3632870198,0.7833281949,2.0598654276,2.608368593,16.8580875735,16.4964197501,14.7459444814,15.6158512854,13.5940760132,13.5031625639,11.0447279915,10.7437922512,10.5189960935,-0.625350838,-0.713851086,0.2677295803,-7.1741743403,-7.485786165,-1.9147583054,-5.8406555171,-10.060442803,-7.1178680483,-3.1535622773,-3.9368934137,-5.0329589888,-2.947006552,-0.98301153,0.7407552892
"West North Central","OE",20505437,21616921,20505950,21617667,68329,269317,269078,271005,274334,274079,273009,269156,262232,259858,62755,247379,250219,248967,42515,178210,176526,183294,181301,189760,187229,194252,187731,186549,52744,232199,234242,215745,-3606,-21161,-17387,-1281,-21483,-30951,-39004,-20662,-17621,-22536,-6918,-1265,-37993,2277,8428,35445,34116,33295,42275,47715,45682,37976,26755,26047,1086,18288,47314,42998,25814,91107,92552,87711,93033,84319,85780,74904,74501,73309,10011,15180,15977,33222,4822,14284,16729,32014,20792,16764,6678,17314,9134,3511,-5832,17023,9321,45275,30210,105295,109047,119532,112923,100109,92074,91785,83316,76332,7053,38065,21933,78526,20536160,20641455,20750502,20870034,20982957,21083066,21175140,21266925,21350241,21426573,21624720,21662785,21684718,21763244,93.865021837,94.070513358,94.382298798,95.571348438,95.248591818,94.288408982,92.427366689,89.387650442,88.290845817,11.429579968,11.544794172,11.460468503,61.1153748699,60.1425566187,61.6384321783,60.4014636692,62.7726573014,61.4979526786,63.6200563339,60.4372691758,59.9160856618,10.728222844,10.807635217,9.9311907886,4.2497127953,11.7561786336,20.0977159109,5.0439669559,0.716869545000001,-17.3629380238,-13.9428314143,-8.8905926207,-8.6972174178,-0.058446427,-1.752949876,0.1048150429,-426,-96,-234,-193,-902,-974,-384,-433,-319,-488,2874,5862,-3365,29,11.4843277361,12.4490588388,10.4537597739,13.4003506842,16.1781095229,17.0791375066,16.2222047527,8.5908957861,8.2050867343,0.8449551435,2.1830092497,1.9792873139,32.7496469671,33.9279567394,32.7438666205,35.1698847685,32.4759345172,32.7904563034,28.8073103542,28.9503812657,28.3747601548,0.7013571237,0.7371589547,1.5292777139,15.734040531,24.2052374721,30.5514756838,18.4443176405,16.8949790694,-0.2838005172,2.2793733385,-0.2996968346,-0.492130685,0.7865087165,0.4300593739,2.0841023567
"South Atlantic","OE",59777037,66089734,59781975,66091701,181808,741231,739521,733734,741600,750660,750505,744405,738295,731682,172106,699224,728053,727224,120790,506241,503215,529799,525675,553591,558626,577684,595843,601947,168566,727717,744116,671967,47969,161808,180450,173349,214032,274108,318029,276752,262632,268846,81223,435697,517949,406986,45396,173262,215323,204198,218713,260566,279159,267961,204343,155847,6004,97722,254571,318731,61018,234990,236306,203935,215925,197069,191879,166721,142452,129735,3540,-28493,-16063,55257,93365,335070,395773,377547,432745,534674,597188,544713,466975,424693,87227,533419,772520,725717,156817,570518,635819,584073,653071,734872,790166,712321,609992,555193,83096,498804,771513,780769,59938792,60509310,61145129,61729202,62382273,63117145,63907311,64619632,65229624,65784817,66174797,66673601,67445114,68225883,113.67927398,112.237002981,110.576874022,109.917567273,110.053891897,108.564587309,106.409544289,104.229246901,102.5317282205,10.526645568,10.856844252,10.720404745,77.0040736931,75.4325724772,78.6516321733,76.9696129714,80.2910210734,79.7740952269,82.2915795052,83.6523722161,84.1081981883,10.955600684,11.096378309,9.9058312367,30.7058664517,29.0145240402,25.6719309533,21.8200455383,26.1957949751,25.3283019634,22.9767776971,24.2944017101,22.9149978674,6.5593113136,7.7237393752,5.999602111,2434,458,3740,2591,4401,3129,1099,887,565,765,-7671,-6122,15056,-205,21.0181470117,26.8534624074,27.5224078916,28.8682487866,32.4842706451,29.3629092629,27.4447874838,19.3675809071,15.8667228421,1.4711807063,3.7962039824,4.6985871269,36.6752002852,36.8044305036,31.9252418486,32.9479543028,29.7628708224,28.7904920836,24.1179647856,20.5768746862,18.4235300324,-0.428955116,-0.239534058,0.8145735083,51.7240134634,55.8679864476,53.1943388444,50.6882943247,58.6800656211,54.6912112253,50.4215651808,43.6619826172,38.7817207095,8.0304920199,11.519943358,10.698189238
"East South Central","OE",18432505,19402234,18433864,19402683,57014,233365,234121,232741,233842,236044,234477,232004,230477,227001,54199,223015,227329,227503,42579,180686,180933,189425,187531,195777,196568,202810,200820,199466,56557,258644,260967,231446,7065,14376,15525,8925,5219,5041,19013,39363,32071,33115,23124,72716,115930,100512,4006,20315,23361,25394,18674,25108,20958,20051,15793,14259,513,7304,18358,30865,14435,52679,53188,43316,46311,40267,37909,29194,29657,27535,-2358,-35629,-33638,-3943,11071,34691,38886,34319,23893,30149,39971,59414,47864,47374,23637,80020,134288,131377,25613,87435,92736,78143,70048,70125,77691,88408,77422,74696,21836,46752,102099,127431,18459477,18546912,18639648,18717791,18787839,18857964,18935655,19024063,19101485,19176181,19424519,19471271,19573370,19700801,50.831543088,50.642979838,50.05052295,50.122217017,50.335866851,49.833931445,49.092711705,48.50013216,47.562651304,11.467307901,11.644568585,11.585375029,39.1829069465,39.0347346657,40.7271608428,40.165638859,41.77941573,41.793313171,42.888932146,42.267303294,41.9098594555,13.299331367,13.367621948,11.786168574,1.6194295991,0.7911759434,0.4959759807,-1.3952303767,-1.9462000634,1.0005333505,4.7835526926,2.3155776328,3.261715497,3.7390164848,5.9383309479,5.1184785033,107,65,662,508,-156,-291,-189,-200,-99,-213,557,2361,1449,-3,4.1684225227,4.8618155648,5.1459088385,3.8965301215,5.2003454411,4.1677530009,4.0759257155,2.9778508153,2.5838920072,0.3755676386,0.9403595233,1.5717709229,11.6486361414,11.6082451725,9.3233621079,9.9565781578,8.5564511214,8.0406182723,6.2037795596,6.2328288659,5.6527918493,-1.832023466,-1.723053363,-0.200793544,5.7878521221,5.6529915074,5.6418848195,2.5012997443,3.2541453771,5.1682863509,8.8594784072,5.2934284486,5.8456075036,4.1145841234,6.8786904712,6.6902494263
"West South Central","OE",36346202,40774139,36347191,40774145,129937,535038,531313,538299,549871,558975,556430,542935,526178,522561,121911,504346,524984,530342,65066,276124,276643,292003,292903,302858,302887,311821,320266,320717,89367,418276,410652,364314,36233,136426,148303,117734,155342,174394,104477,50028,53905,105952,54122,207473,222502,198768,18062,86062,99341,93821,121203,136327,128346,107891,79512,72836,2416,50192,134300,150284,64871,258914,254670,246296,256968,256117,253543,231114,205912,201844,32544,86070,114332,166028,54295,222488,247644,211555,276545,310721,232823,157919,133417,178788,56538,257665,356802,349052,121220,481889,506131,460976,536518,568307,486562,389700,339830,381126,91820,342445,475136,515060,36468411,36950300,37456431,37917407,38453925,39022232,39508794,39898494,40238324,40619450,40865965,41208410,41683546,42198606,55.709899249,55.053060323,54.938245203,55.244630393,55.410964776,54.609896416,52.9690169,51.142065697,50.217158065,12.289974794,12.666705561,12.644930712,35.6020580573,35.2402014526,36.8368405086,36.2694199667,37.0876092565,36.6274457093,37.5977329653,37.8497088356,37.5858329668,10.192608838,9.9081266703,8.6863293636,9.2490865135,7.1331292601,6.6270521325,4.7067908151,7.1614568984,0.7983973869,-4.3689918365,-3.3665880156,0.5678061516,5.0557314631,5.3684823169,4.739220329,2054,487,3817,3125,3005,1469,196,667,501,494,2738,-1290,4002,-20,7.1910368426,7.1646195991,6.6035532524,7.7132776922,9.1235629286,8.4697764073,5.992457581,4.5118472751,4.1351944482,1.2230857682,3.2403626716,3.5832175598,20.1078411917,19.8128588706,18.1014046949,18.975210426,18.3233555192,17.9824507063,15.3712839359,13.2923568605,12.6313250979,2.0973659562,2.7585788903,3.9586013482,16.440123356,14.2977488588,13.2306053845,12.4200685074,16.2850198267,9.2681737939,1.6234657441,1.1452592602,4.7030006002,6.2788172313,8.6088449885,8.3224378888
